collision_index,severe_or_fatal,fatal,number_of_casualties,vulnerable_casualties,number_of_vehicles,speed_limit,rural,darkness,adverse_weather,wet_or_icy,junction_present,weekend,road_type_label,light_label,weather_label,surface_label,area_label,longitude,latitude
2023010419198,0,0,1,1,1,30,0,1,0,0,0,1,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.201941,51.545349
2023010419205,0,0,1,0,1,50,1,0,0,0,0,1,Dual carriageway,Daylight,Fine no high winds,Dry,Rural,0.072337,51.526805
2023010419228,0,0,3,0,2,20,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.056268,51.539465
2023010419263,0,0,1,0,2,20,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.012912,51.575392
2023010419270,0,0,1,0,2,20,0,1,1,1,1,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.112305,51.481946
2023010419272,0,0,1,0,2,30,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.003863,51.424377
2023010419280,0,0,1,0,2,20,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.217174,51.460711
2023010419323,1,0,1,0,1,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.067242,51.457382
2023010419343,0,0,1,0,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,0.202925,51.545612
2023010419376,0,0,1,0,2,20,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.378319,51.507256
2023010419385,0,0,1,0,1,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,0.019754,51.548828
2023010419392,0,0,1,1,1,30,0,0,0,0,1,0,One way street,Daylight,Fine no high winds,Dry,Urban,-0.043111,51.643721
2023010419404,0,0,1,0,1,30,0,1,0,1,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,0.129722,51.567386
2023010419418,0,0,1,0,2,20,0,0,0,0,0,0,Unknown,Daylight,Unknown,Dry,Urban,-0.298612,51.510129
2023010419437,1,0,1,1,1,30,0,0,1,1,1,0,Dual carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.017164,51.432778
2023010419440,0,0,1,1,1,20,0,0,0,0,0,0,Unknown,Daylight,Fine no high winds,Dry,Urban,-0.444927,51.567992
2023010419502,0,0,1,0,2,20,0,1,0,1,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.06389,51.498144
2023010419503,0,0,1,0,3,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.013197,51.635332
2023010419518,0,0,1,0,2,20,0,1,0,0,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.058071,51.651487
2023010419523,0,0,1,0,2,20,0,1,1,1,0,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.262462,51.513367
2023010419525,0,0,1,1,2,20,0,1,0,1,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.299886,51.509221
2023010419526,0,0,1,1,1,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.080931,51.403821
2023010419529,1,0,1,1,1,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.354326,51.470872
2023010419546,0,0,1,1,2,20,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Other,Wet or damp,Urban,-0.238618,51.506438
2023010419587,0,0,1,0,1,20,0,0,1,1,0,0,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.252345,51.512614
2023010419599,0,0,1,1,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.024125,51.444514
2023010419601,0,0,1,1,1,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.02304,51.477625
2023010419605,0,0,1,1,1,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,0.107822,51.562818
2023010419622,1,0,1,1,1,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.184304,51.484054
2023010419624,0,0,1,0,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.041818,51.512921
2023010419625,0,0,1,0,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.284598,51.562476
2023010419707,0,0,1,1,1,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.13861,51.541547
2023010419711,0,0,2,0,2,30,0,1,0,0,0,0,Slip road,Darkness - lights lit,Unknown,Dry,Urban,0.032099,51.517392
2023010419775,0,0,1,0,2,30,0,0,1,1,1,0,Unknown,Daylight,Raining no high winds,Wet or damp,Urban,0.113791,51.61092
2023010419786,0,0,1,0,2,20,0,1,0,0,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.227944,51.547192
2023010419792,1,0,1,0,1,20,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.334016,51.57932
2023010419803,0,0,1,0,2,20,0,0,0,0,0,0,Unknown,Daylight,Fine no high winds,Dry,Urban,-0.139034,51.57568
2023010419830,0,0,2,0,2,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,0.172871,51.58655
2023010419831,0,0,1,1,1,20,0,1,0,0,0,0,Unknown,Darkness - lighting unknown,Unknown,Unknown,Urban,-0.08245,51.427326
2023010419847,0,0,1,0,2,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.184195,51.607806
2023010419862,0,0,1,1,2,20,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.160708,51.434758
2023010419866,1,0,1,1,1,30,0,1,1,1,0,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.081589,51.635786
2023010419880,0,0,1,0,2,30,0,1,0,1,1,0,Dual carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.015506,51.463406
2023010419888,0,0,1,0,2,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.378507,51.470292
2023010419956,0,0,1,0,1,20,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.091033,51.504029
2023010419964,1,0,2,0,3,50,0,1,0,1,0,1,Dual carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.076852,51.614181
2023010419994,0,0,1,0,2,30,0,0,0,0,1,0,Dual carriageway,Daylight,Fine no high winds,Dry,Urban,-0.042449,51.667144
2023010420004,0,0,3,0,2,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.014042,51.348462
2023010420014,1,0,1,1,1,20,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.080703,51.531063
2023010420016,0,0,1,1,3,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.198036,51.597085
2023010420020,0,0,1,0,2,30,0,1,0,0,0,0,Slip road,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.283128,51.376797
2023010420027,0,0,2,0,2,20,0,1,0,1,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.34302,51.542462
2023010420034,0,0,1,0,2,30,0,1,0,0,1,0,Dual carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.365295,51.581252
2023010420037,1,0,1,0,2,30,0,1,0,0,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,0.083521,51.461661
2023010420038,0,0,1,0,2,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Other,Wet or damp,Urban,-0.384013,51.472175
2023010420039,0,0,1,0,3,20,0,1,0,1,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.197549,51.497361
2023010420044,0,0,4,0,2,30,0,1,1,1,0,0,Roundabout,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.452353,51.495874
2023010420083,1,0,1,1,1,30,0,0,0,0,1,0,One way street,Daylight,Unknown,Unknown,Urban,-0.093543,51.597449
2023010420093,0,0,1,1,1,40,1,0,0,0,0,1,Dual carriageway,Daylight,Fine no high winds,Dry,Rural,0.039835,51.593075
2023010420137,0,0,1,0,2,20,0,1,0,0,1,1,Slip road,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.204808,51.497041
2023010420144,0,0,1,0,2,20,0,0,0,1,0,0,Unknown,Daylight,Fine no high winds,Wet or damp,Urban,-0.27455,51.556556
2023010420145,0,0,1,0,3,30,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,0.066462,51.49288
2023010420164,0,0,1,1,1,30,0,1,1,1,0,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.08554,51.493787
2023010420178,0,0,1,0,2,20,0,0,1,1,1,1,Dual carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.098141,51.575519
2023010420197,0,0,1,0,3,20,0,1,1,1,1,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.206644,51.549719
2023010420198,0,0,1,1,1,30,0,1,0,1,0,1,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.076275,51.378763
2023010420203,0,0,2,0,2,30,0,1,0,0,0,1,Roundabout,Darkness - lights lit,Fine no high winds,Dry,Urban,0.067657,51.576545
2023010420215,1,0,1,1,1,30,0,0,0,1,1,1,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.276956,51.608539
2023010420241,0,0,2,0,3,30,0,0,1,1,1,1,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,0.153153,51.457012
2023010420251,0,0,1,0,2,20,0,0,1,1,1,1,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.084698,51.426536
2023010420353,0,0,1,0,2,20,0,0,0,0,0,0,Unknown,Daylight,Fine no high winds,Dry,Urban,0.02185,51.518684
2023010420358,0,0,1,0,2,20,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Unknown,Unknown,Urban,-0.195903,51.540122
2023010420364,0,0,1,1,1,20,0,1,0,0,0,1,One way street,Darkness - lights unlit,Fine no high winds,Dry,Urban,-0.131737,51.529082
2023010420380,0,0,1,0,2,30,0,1,0,1,0,1,Unknown,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.037483,51.475619
2023010420388,0,0,1,1,2,20,0,0,0,1,0,0,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.214517,51.525074
2023010420403,0,0,1,0,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.210843,51.55517
2023010420426,0,0,1,1,1,30,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,0.011725,51.377735
2023010420429,0,0,1,1,1,20,0,0,0,0,1,0,Dual carriageway,Daylight,Fine no high winds,Dry,Urban,-0.096751,51.489563
2023010420437,1,0,1,1,2,30,1,0,0,0,0,0,Slip road,Daylight,Fine no high winds,Dry,Rural,0.124889,51.345826
2023010420439,0,0,1,0,2,20,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.038457,51.581415
2023010420458,0,0,1,1,2,20,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.224584,51.488628
2023010420459,0,0,2,0,2,30,1,1,0,0,0,0,Roundabout,Darkness - lights lit,Fine no high winds,Dry,Rural,0.209259,51.604891
2023010420500,0,0,1,1,1,20,0,0,1,1,1,0,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.145543,51.522107
2023010420504,0,0,1,0,2,30,0,1,0,0,0,1,Unknown,Darkness - lights lit,Unknown,Unknown,Urban,-0.144639,51.559591
2023010420525,0,0,1,0,2,20,0,0,1,1,1,0,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.191203,51.470951
2023010420530,0,0,1,1,2,30,0,1,0,0,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.136959,51.46824
2023010420536,0,0,1,0,2,70,1,1,1,1,0,0,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Rural,-0.048125,51.683119
2023010420547,0,0,1,1,2,30,0,1,0,1,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.149049,51.480779
2023010420565,1,0,1,1,1,20,0,0,1,1,0,0,Roundabout,Daylight,Raining no high winds,Wet or damp,Urban,-0.075237,51.460319
2023010420573,0,0,1,0,1,30,0,1,0,0,1,0,Unknown,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.064399,51.52183
2023010420599,0,0,2,0,2,20,0,0,1,1,1,0,One way street,Daylight,Raining no high winds,Wet or damp,Urban,-0.101004,51.587156
2023010420621,0,0,1,1,2,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.072991,51.567555
2023010420656,0,0,1,0,1,40,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,0.047898,51.366892
2023010420663,1,0,2,0,2,30,0,1,1,1,1,0,Dual carriageway,Darkness - lights unlit,Raining + high winds,Wet or damp,Urban,0.126612,51.551777
2023010420667,1,0,1,1,1,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining + high winds,Wet or damp,Urban,-0.418325,51.455908
2023010420675,0,0,1,1,1,20,0,1,0,1,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.053238,51.550646
