period,model,MAE,RMSE,MAPE
Early morning,Baseline,8.54632329122125,11.041449915665373,47.74137548245292
Early morning,ARIMA,18.6468219338261,22.45779982296489,126.30471110996284
Early morning,LSTM,,,
Morning peak,Baseline,23.47071050642479,27.75343491187913,30.975325967968608
Morning peak,ARIMA,56.1177174945431,64.6676254737539,51.11589253841513
Morning peak,LSTM,,,
Midday,Baseline,11.235017816650469,14.004891011686494,21.220185964383642
Midday,ARIMA,21.26165822331485,26.978039133223145,30.860652224487772
Midday,LSTM,,,
Evening peak,Baseline,18.12396069538927,21.919836083050104,24.781824097639984
Evening peak,ARIMA,46.89984963597417,54.697414446528725,47.604088503155204
Evening peak,LSTM,,,
Night,Baseline,9.052721088435376,11.431121573948795,19.323053204554235
Night,ARIMA,14.734179370693422,17.032796035126555,25.6628729053937
Night,LSTM,,,
