local_time,weekday_Mon0,volume_vehicles_per_hour,weather_labels,temperature_C
2018-01-01 00:00,0,1478.0,Clear,-23.79
2018-01-01 01:00,0,1408.0,Clear,-24.07
2018-01-01 02:00,0,931.0,Clear,-24.29
2018-01-01 03:00,0,585.0,Clear,-24.43
2018-01-01 04:00,0,381.0,Clear,-24.72
2018-01-01 05:00,0,434.0,Clear,-25.08
2018-01-01 06:00,0,686.0,Clear,-25.0
2018-01-01 07:00,0,677.0,Clear,-25.39
2018-01-01 08:00,0,811.0,Clear,-25.7
2018-01-01 09:00,0,1122.0,Clear,-25.72
2018-01-01 10:00,0,1738.0,Clear,-24.24
2018-01-01 11:00,0,2421.0,Clear,-22.5
2018-01-01 12:00,0,2908.0,Clear,-21.16
2018-01-01 13:00,0,2985.0,Clear,-19.86
2018-01-01 14:00,0,3214.0,Clear,-18.36
2018-01-01 15:00,0,3410.0,Clear,-17.69
2018-01-01 16:00,0,3290.0,Clear,-17.36
2018-01-01 17:00,0,3079.0,Clear,-18.0
2018-01-01 18:00,0,2891.0,Clear,-19.29
2018-01-01 19:00,0,2199.0,Clear,-19.84
2018-01-01 20:00,0,1738.0,Clear,-20.72
2018-01-01 21:00,0,1555.0,Clear,-21.43
2018-01-01 22:00,0,1213.0,Clear,-21.62
2018-01-01 23:00,0,830.0,Clear,-22.15
2018-01-02 00:00,1,477.0,Clear,-22.01
2018-01-02 01:00,1,279.0,Mist,-22.08
2018-01-02 02:00,1,205.0,Clear,-22.29
2018-01-02 03:00,1,299.0,Clear,-22.29
2018-01-02 04:00,1,729.0,Clear,-22.43
2018-01-02 05:00,1,2544.0,Clear,-22.72
2018-01-02 06:00,1,4801.0,Clear,-22.77
2018-01-02 07:00,1,5696.0,Clear,-23.22
2018-01-02 08:00,1,4901.0,Clear,-23.14
2018-01-02 09:00,1,4189.0,Clear,-22.85
2018-01-02 10:00,1,4065.0,Clear,-20.65
2018-01-02 11:00,1,4172.0,Clouds,-17.72
2018-01-02 12:00,1,4448.0,Clouds,-15.29
2018-01-02 13:00,1,4537.0,Clouds,-12.51
2018-01-02 14:00,1,4698.0,Clouds,-11.43
2018-01-02 15:00,1,5232.0,Clear,-11.0
2018-01-02 16:00,1,5618.0,Mist;Snow,-10.86
2018-01-02 17:00,1,5178.0,Mist;Snow,-10.78
2018-01-02 18:00,1,3625.0,Haze;Snow,-10.7
2018-01-02 19:00,1,2669.0,Mist;Snow,-10.08
2018-01-02 20:00,1,2056.0,Snow,-9.86
2018-01-02 21:00,1,2834.0,Snow,-9.62
2018-01-02 22:00,1,2785.0,Snow,-10.21
2018-01-02 23:00,1,1118.0,Snow,-10.67
2018-01-03 00:00,2,599.0,Snow,-11.36
2018-01-03 01:00,2,353.0,Haze;Snow,-12.29
2018-01-03 02:00,2,283.0,Haze,-13.09
2018-01-03 03:00,2,358.0,Clouds,-14.43
2018-01-03 04:00,2,811.0,Clear,-15.0
2018-01-03 05:00,2,2739.0,Clear,-16.15
2018-01-03 06:00,2,5225.0,Clear,-16.57
2018-01-03 07:00,2,6017.0,Clouds,-17.22
2018-01-03 08:00,2,5398.0,Clear,-17.72
2018-01-03 09:00,2,5142.0,Clear,-17.92
2018-01-03 10:00,2,4092.0,Clear,-17.07
2018-01-03 11:00,2,4328.0,Clouds,-16.92
2018-01-03 12:00,2,4600.0,Clouds,-15.86
