Borough,daytype,hour,count
Bronx,周末,0,3
Bronx,周末,1,7
Bronx,周末,2,1
Bronx,周末,3,5
Bronx,周末,4,7
Bronx,周末,5,4
Bronx,周末,6,4
Bronx,周末,7,2
Bronx,周末,8,10
Bronx,周末,9,9
Bronx,周末,10,8
Bronx,周末,11,11
Bronx,周末,12,6
Bronx,周末,13,11
Bronx,周末,14,7
Bronx,周末,15,7
Bronx,周末,16,5
Bronx,周末,17,6
Bronx,周末,18,6
Bronx,周末,19,6
Bronx,周末,20,7
Bronx,周末,21,4
Bronx,周末,22,5
Bronx,周末,23,5
Bronx,平日,0,17
Bronx,平日,1,18
Bronx,平日,2,4
Bronx,平日,3,8
Bronx,平日,4,15
Bronx,平日,5,27
Bronx,平日,6,16
Bronx,平日,7,17
Bronx,平日,8,36
Bronx,平日,9,87
Bronx,平日,10,53
Bronx,平日,11,63
Bronx,平日,12,67
Bronx,平日,13,72
Bronx,平日,14,46
Bronx,平日,15,42
Bronx,平日,16,26
Bronx,平日,17,21
Bronx,平日,18,22
Bronx,平日,19,15
Bronx,平日,20,13
Bronx,平日,21,10
Bronx,平日,22,12
Bronx,平日,23,17
Brooklyn,周末,0,89
Brooklyn,周末,1,108
Brooklyn,周末,2,98
Brooklyn,周末,3,81
Brooklyn,周末,4,44
Brooklyn,周末,5,8
Brooklyn,周末,6,9
Brooklyn,周末,7,14
Brooklyn,周末,8,25
Brooklyn,周末,9,50
Brooklyn,周末,10,58
Brooklyn,周末,11,82
Brooklyn,周末,12,117
Brooklyn,周末,13,129
Brooklyn,周末,14,148
Brooklyn,周末,15,136
Brooklyn,周末,16,164
Brooklyn,周末,17,173
Brooklyn,周末,18,177
Brooklyn,周末,19,142
Brooklyn,周末,20,106
Brooklyn,周末,21,111
Brooklyn,周末,22,81
Brooklyn,周末,23,58
Brooklyn,平日,0,128
Brooklyn,平日,1,80
Brooklyn,平日,2,57
Brooklyn,平日,3,27
Brooklyn,平日,4,30
Brooklyn,平日,5,41
Brooklyn,平日,6,48
Brooklyn,平日,7,121
Brooklyn,平日,8,202
Brooklyn,平日,9,285
Brooklyn,平日,10,273
Brooklyn,平日,11,290
Brooklyn,平日,12,290
Brooklyn,平日,13,284
Brooklyn,平日,14,353
Brooklyn,平日,15,365
Brooklyn,平日,16,399
Brooklyn,平日,17,426
Brooklyn,平日,18,461
Brooklyn,平日,19,375
Brooklyn,平日,20,334
Brooklyn,平日,21,272
Brooklyn,平日,22,229
Brooklyn,平日,23,169
EWR,周末,12,1
EWR,平日,10,1
EWR,平日,18,1
Manhattan,周末,0,95
Manhattan,周末,1,55
Manhattan,周末,2,29
Manhattan,周末,3,19
Manhattan,周末,4,18
Manhattan,周末,5,12
Manhattan,周末,6,48
Manhattan,周末,7,131
Manhattan,周末,8,167
Manhattan,周末,9,241
Manhattan,周末,10,311
Manhattan,周末,11,384
Manhattan,周末,12,356
Manhattan,周末,13,423
Manhattan,周末,14,446
Manhattan,周末,15,495
Manhattan,周末,16,467
Manhattan,周末,17,429
Manhattan,周末,18,439
Manhattan,周末,19,399
Manhattan,周末,20,306
Manhattan,周末,21,235
Manhattan,周末,22,166
Manhattan,周末,23,149
Manhattan,平日,0,195
Manhattan,平日,1,137
Manhattan,平日,2,66
Manhattan,平日,3,32
Manhattan,平日,4,42
Manhattan,平日,5,119
Manhattan,平日,6,549
Manhattan,平日,7,1586
Manhattan,平日,8,1764
Manhattan,平日,9,1758
Manhattan,平日,10,1670
Manhattan,平日,11,1537
Manhattan,平日,12,1503
Manhattan,平日,13,1541
Manhattan,平日,14,1739
Manhattan,平日,15,2089
Manhattan,平日,16,2162
Manhattan,平日,17,2291
Manhattan,平日,18,2042
Manhattan,平日,19,1545
Manhattan,平日,20,1059
Manhattan,平日,21,731
Manhattan,平日,22,512
Manhattan,平日,23,357
Queens,周末,0,225
Queens,周末,1,199
Queens,周末,2,158
Queens,周末,3,132
Queens,周末,4,81
Queens,周末,5,46
Queens,周末,6,54
Queens,周末,7,58
Queens,周末,8,75
Queens,周末,9,121
Queens,周末,10,130
Queens,周末,11,157
Queens,周末,12,158
Queens,周末,13,173
Queens,周末,14,210
Queens,周末,15,221
Queens,周末,16,217
Queens,周末,17,244
Queens,周末,18,228
Queens,周末,19,243
Queens,周末,20,170
Queens,周末,21,154
Queens,周末,22,145
Queens,周末,23,161
Queens,平日,0,266
Queens,平日,1,155
Queens,平日,2,116
Queens,平日,3,103
Queens,平日,4,91
Queens,平日,5,65
Queens,平日,6,123
Queens,平日,7,322
Queens,平日,8,478
Queens,平日,9,502
Queens,平日,10,476
Queens,平日,11,541
Queens,平日,12,540
Queens,平日,13,611
Queens,平日,14,651
Queens,平日,15,745
Queens,平日,16,875
Queens,平日,17,975
Queens,平日,18,989
Queens,平日,19,770
Queens,平日,20,577
Queens,平日,21,419
Queens,平日,22,434
Queens,平日,23,353
Staten Island,平日,0,1
Staten Island,平日,3,1
Staten Island,平日,15,1
Staten Island,平日,16,1
Staten Island,平日,17,1
Unknown,周末,0,3
Unknown,周末,1,1
Unknown,周末,2,1
Unknown,周末,3,3
Unknown,周末,4,1
Unknown,周末,5,1
Unknown,周末,6,2
Unknown,周末,7,2
Unknown,周末,8,1
Unknown,周末,9,2
Unknown,周末,10,3
Unknown,周末,12,2
Unknown,周末,13,3
Unknown,周末,15,3
Unknown,周末,17,3
Unknown,周末,19,4
Unknown,周末,20,2
Unknown,周末,21,1
Unknown,周末,22,3
Unknown,周末,23,1
Unknown,平日,0,3
Unknown,平日,1,6
Unknown,平日,2,1
Unknown,平日,4,2
Unknown,平日,6,1
Unknown,平日,7,2
Unknown,平日,8,3
Unknown,平日,9,9
Unknown,平日,10,4
Unknown,平日,11,6
Unknown,平日,12,4
Unknown,平日,13,7
Unknown,平日,14,8
Unknown,平日,15,7
Unknown,平日,16,4
Unknown,平日,17,7
Unknown,平日,18,3
Unknown,平日,19,4
Unknown,平日,20,10
Unknown,平日,21,3
Unknown,平日,22,3
Unknown,平日,23,2
