date,weekday_0_monday,retained_trips,cluster_id
2024-01-01,0,1189,0
2024-01-02,1,1668,1
2024-01-03,2,1790,1
2024-01-04,3,2101,1
2024-01-05,4,2119,1
2024-01-06,5,1628,3
2024-01-07,6,1129,2
2024-01-08,0,1952,1
2024-01-09,1,2061,1
2024-01-10,2,2015,1
2024-01-11,3,2095,1
2024-01-12,4,2046,1
2024-01-13,5,1699,2
2024-01-14,6,1432,3
2024-01-15,0,1332,3
2024-01-16,1,1877,1
2024-01-17,2,2225,1
2024-01-18,3,2113,1
2024-01-19,4,1980,1
2024-01-20,5,1689,3
2024-01-21,6,1402,2
2024-01-22,0,1872,1
2024-01-23,1,1903,1
2024-01-24,2,2026,1
2024-01-25,3,2074,1
2024-01-26,4,2032,1
2024-01-27,5,1583,3
2024-01-28,6,1415,3
2024-01-29,0,1984,1
2024-01-30,1,2013,1
2024-01-31,2,2105,1
