date,day_type,peak_mean
2017-01-01,weekend,1504.333333
2017-01-02,weekday,2069.0
2017-01-03,weekday,5319.333333
2017-01-04,weekday,5232.666667
2017-01-05,weekday,5594.333333
2017-01-06,weekday,5438.666667
2017-01-07,weekend,2570.0
2017-01-08,weekend,1921.0
2017-01-09,weekday,5636.666667
2017-01-10,weekday,3825.333333
2017-01-11,weekday,3962.0
2017-01-12,weekday,5431.666667
2017-01-13,weekday,5552.333333
2017-01-14,weekend,2189.666667
2017-01-15,weekend,1639.333333
2017-01-16,weekday,3920.0
2017-01-17,weekday,5003.0
2017-01-18,weekday,5641.666667
2017-01-19,weekday,5584.666667
2017-01-20,weekday,5497.0
2017-01-21,weekend,2815.0
2017-01-22,weekend,2178.666667
2017-01-23,weekday,5381.333333
2017-01-24,weekday,5597.666667
2017-01-25,weekday,5036.333333
2017-01-26,weekday,5780.666667
2017-01-27,weekday,5671.333333
2017-01-28,weekend,2959.333333
2017-01-29,weekend,1925.666667
2017-01-30,weekday,4691.333333
2017-01-31,weekday,5651.333333
2017-02-01,weekday,5854.666667
2017-02-02,weekday,5792.666667
2017-02-03,weekday,5759.333333
2017-02-04,weekend,2178.666667
2017-02-05,weekend,1957.0
2017-02-06,weekday,5738.0
2017-02-07,weekday,5042.666667
2017-02-08,weekday,5977.666667
2017-02-09,weekday,5879.0
2017-02-10,weekday,5659.666667
2017-02-11,weekend,2167.333333
2017-02-12,weekend,1846.333333
2017-02-13,weekday,5947.0
2017-02-14,weekday,5837.0
2017-02-15,weekday,6014.0
2017-02-16,weekday,6021.666667
2017-02-17,weekday,5845.666667
2017-02-18,weekend,2918.666667
2017-02-19,weekend,2073.0
2017-02-20,weekday,4744.333333
2017-02-22,weekday,5586.333333
2017-02-23,weekday,6271.0
2017-02-24,weekday,5200.333333
2017-02-25,weekend,2968.666667
2017-02-26,weekend,2577.666667
2017-02-27,weekday,5947.666667
2017-02-28,weekday,5888.333333
2017-03-01,weekday,4496.666667
2017-03-02,weekday,5960.0
2017-03-03,weekday,5786.0
2017-03-04,weekend,2437.333333
2017-03-05,weekend,2105.0
2017-03-06,weekday,5754.666667
2017-03-07,weekday,6003.666667
2017-03-08,weekday,6053.333333
