id,cnt
13004,149
13005,93
13006,90
13007,33
13008,4
13009,10
13010,27
13011,50
13012,142
13013,219
13014,366
13015,377
13016,433
13017,420
13018,444
13019,345
13020,313
13021,413
13022,370
13023,382
13024,332
13025,258
13026,151
13027,110
13028,43
13029,17
13030,15
13031,5
13032,12
13033,40
13034,136
13035,398
13036,568
13037,295
13038,174
13039,201
13040,257
13041,236
13042,230
13043,234
13044,365
13045,747
13046,730
13047,581
13048,395
13049,258
13050,188
13051,102
13052,53
13053,14
13054,10
13055,2
13056,6
13057,35
13058,154
13059,483
13060,646
13061,272
13062,209
13063,217
13064,272
13065,283
13066,310
13067,401
13068,527
13069,722
13070,627
13071,497
13072,376
13073,196
13074,177
13075,171
13076,159
13077,123
13078,93
13079,32
13080,16
13081,19
13082,32
13083,72
13084,153
13085,293
13086,447
13087,485
13088,494
13089,499
13090,547
13091,454
13092,389
13093,414
13094,430
13095,432
13096,551
13097,584
13098,502
13099,183
13100,88
13101,30
13102,18
13103,7
13104,7
13105,29
13106,133
13107,343
13108,550
13109,293
13110,186
13111,244
13112,276
13113,310
13114,241
13115,254
13116,433
13117,689
13118,607
13119,503
13120,321
13121,323
13122,225
13123,131
13124,102
13125,29
13126,17
13127,7
13128,6
13129,35
13130,131
13131,353
13132,585
13133,304
13134,210
13135,233
13136,331
13137,293
13138,275
13139,285
13140,369
13141,576
13142,560
13143,418
13144,336
13145,300
13146,288
13147,164
13148,150
13149,71
13150,58
13151,31
13152,16
13153,14
13154,31
13155,71
13156,152
13157,256
13158,325
13159,367
13160,342
13161,360
13162,308
13163,306
13164,294
13165,279
13166,277
13167,287
13168,276
13169,201
13170,220
13171,148
13172,147
13173,124
13174,70
13175,35
13176,13
13177,6
13178,21
13179,52
13180,130
13181,242
13182,319
13183,389
13184,376
13185,337
13186,312
13187,298
13188,291
13189,270
13190,253
13191,250
13192,285
13193,207
13194,122
13195,123
13196,39
13197,18
13198,5
13199,5
13200,2
13201,28
13202,92
13203,230
13204,455
13205,363
13206,175
13207,216
13208,266
13209,255
13210,242
13211,280
13212,413
13213,849
13214,872
13215,631
13216,447
13217,331
13218,224
13219,131
13220,69
13221,15
13222,16
13223,3
13224,4
13225,42
13226,187
13227,520
13228,649
13229,331
13230,190
13231,249
13232,272
13233,280
13234,242
13235,265
13236,435
13237,872
13238,819
13239,414
13240,84
13241,90
13242,139
13243,103
13244,44
13245,14
13246,5
13247,5
13248,7
13249,41
13250,185
13251,497
13252,674
13253,328
13254,195
13255,229
13256,292
13257,273
13258,241
13259,276
13260,411
13261,830
13262,814
13263,633
13264,483
13265,391
13266,244
13267,152
13268,56
13269,21
13270,9
13271,10
13272,5
13273,44
13274,178
13275,512
13276,702
13277,327
13278,214
13279,215
13280,292
13281,277
13282,209
13283,271
13284,439
13285,795
13286,825
13287,629
13288,514
13289,373
13290,318
13291,211
13292,95
13293,59
13294,17
13295,9
13296,11
13297,34
13298,127
13299,380
13300,713
13301,414
13302,268
13303,288
13304,379
13305,374
13306,369
13307,353
13308,492
13309,835
13310,631
13311,488
13312,389
13313,299
13314,263
13315,212
13316,191
13317,118
13318,101
13319,40
13320,9
13321,5
13322,35
13323,48
13324,151
13325,282
13326,401
13327,439
13328,499
13329,591
13330,632
13331,560
13332,566
13333,458
13334,351
13335,431
13336,356
13337,269
13338,225
13339,211
13340,187
13341,168
13342,115
13343,57
13344,19
13345,9
13346,15
13347,47
13348,133
13349,221
13350,382
13351,451
13352,489
13353,480
13354,476
13355,489
13356,495
13357,436
13358,312
13359,312
13360,294
13361,223
13362,130
13363,91
13364,43
13365,11
13366,15
13367,6
13368,12
13369,50
13370,140
13371,483
13372,667
13373,348
13374,186
13375,182
13376,237
13377,239
13378,212
13379,237
13380,386
13381,755
13382,794
13383,595
13384,454
13385,328
13386,284
13387,166
13388,53
13389,25
13390,7
13391,3
13392,7
13393,38
13394,213
13395,526
13396,661
13397,320
13398,159
13399,206
13400,254
13401,221
13402,214
13403,244
13404,381
13405,770
13406,772
13407,547
13408,427
13409,333
13410,244
13411,161
13412,53
