origin,threshold,track_id,time_s,image_direction
annotation,,2,1.5666666666666667,up
annotation,,83,8.866666666666667,down
annotation,,82,8.933333333333334,down
annotation,,70,9.833333333333334,down
annotation,,71,9.933333333333334,down
annotation,,80,9.966666666666667,up
annotation,,99,11.0,up
annotation,,89,11.766666666666667,down
annotation,,106,14.166666666666666,up
annotation,,105,15.333333333333334,up
annotation,,98,23.633333333333333,down
annotation,,100,31.1,up
annotation,,101,31.533333333333335,up
annotation,,125,31.8,down
annotation,,124,31.833333333333332,down
model,0.35,1,1.6,up
model,0.35,6,8.9,down
model,0.35,15,8.9,down
model,0.35,14,9.8,up
model,0.35,46,10.0,down
model,0.35,47,10.1,down
model,0.35,26,10.6,up
model,0.35,72,11.8,down
model,0.35,74,13.1,up
model,0.35,74,13.3,down
model,0.35,104,23.7,down
model,0.35,127,31.1,up
model,0.35,128,31.5,up
model,0.35,122,31.9,down
model,0.35,131,32.0,down
model,0.6,1,1.6,up
model,0.6,27,8.9,down
model,0.6,34,8.9,down
model,0.6,11,9.8,up
model,0.6,57,11.8,down
model,0.6,66,13.1,up
model,0.6,91,23.7,down
model,0.6,99,31.1,up
model,0.6,101,31.5,up
model,0.6,113,31.9,down
model,0.6,115,32.0,down
