id,date,borough,latitude,longitude,injured,killed,valid_coordinates
4691606,2024-01-01,QUEENS,40.672382,-73.78574,1,0,True
4691610,2024-01-01,UNKNOWN,40.65953,-73.73261,1,0,True
4691618,2024-01-01,BROOKLYN,40.65317,-73.91128,0,0,True
4691620,2024-01-01,BROOKLYN,40.671017,-73.88097,0,0,True
4691623,2024-01-01,BRONX,40.833836,-73.91586,4,0,True
4691645,2024-01-01,QUEENS,40.67897,-73.75985,0,0,True
4691656,2024-01-01,UNKNOWN,,,5,0,False
4691659,2024-01-01,MANHATTAN,40.75645,-73.97032,1,0,True
4691668,2024-01-01,MANHATTAN,40.75248,-73.99419,0,0,True
4691672,2024-01-01,UNKNOWN,40.84046,-73.88596,7,0,True
4691680,2024-01-01,QUEENS,40.722267,-73.90134,0,0,True
4691681,2024-01-01,BRONX,40.84104,-73.92195,1,0,True
4691682,2024-01-01,QUEENS,40.76947,-73.84397,2,0,True
4691696,2024-01-01,UNKNOWN,40.734497,-73.72287,0,0,True
4691697,2024-01-01,QUEENS,40.71204,-73.73646,2,0,True
4691704,2024-01-01,UNKNOWN,40.748848,-73.872375,2,0,True
4691708,2024-01-01,BRONX,40.862873,-73.84917,2,0,True
4691709,2024-01-01,UNKNOWN,40.81108,-73.9273,1,0,True
4691726,2024-01-01,UNKNOWN,40.767372,-73.950066,4,0,True
4691729,2024-01-01,UNKNOWN,40.636024,-74.13477,1,0,True
4691740,2024-01-01,QUEENS,40.75595,-73.88165,0,0,True
4691741,2024-01-01,QUEENS,40.770317,-73.87079,2,0,True
4691742,2024-01-01,UNKNOWN,40.753143,-73.89062,1,0,True
4691746,2024-01-01,MANHATTAN,40.72493,-73.99035,0,0,True
4691747,2024-01-01,UNKNOWN,40.67244,-73.73534,0,0,True
4691751,2024-01-01,BROOKLYN,40.632633,-74.01254,1,0,True
4691752,2024-01-01,BROOKLYN,40.707752,-73.96842,1,0,True
4691753,2024-01-01,UNKNOWN,40.75595,-73.99074,0,0,True
4691758,2024-01-01,BROOKLYN,40.63002,-74.01438,0,0,True
4691773,2024-01-01,UNKNOWN,40.65591,-73.89191,0,0,True
4691774,2024-01-01,BROOKLYN,40.678757,-73.8928,0,0,True
4691778,2024-01-01,BROOKLYN,40.656116,-73.89666,1,0,True
4691784,2024-01-01,BROOKLYN,40.668407,-73.888306,0,0,True
4691785,2024-01-01,BROOKLYN,40.67189,-73.895874,0,0,True
4691786,2024-01-01,UNKNOWN,40.651974,-73.86542,0,0,True
4691788,2024-01-01,BROOKLYN,40.67883,-73.88816,0,0,True
4691794,2024-01-01,UNKNOWN,40.61149,-74.13123,0,0,True
4691801,2024-01-01,BRONX,40.88302,-73.85325,2,0,True
4691806,2024-01-01,BRONX,,,0,0,False
4691809,2024-01-01,UNKNOWN,40.744892,-73.77022,2,0,True
4691810,2024-01-01,UNKNOWN,40.849453,-73.906006,1,0,True
4691811,2024-01-01,BROOKLYN,40.64213,-73.92936,3,0,True
4691812,2024-01-01,BROOKLYN,40.650856,-73.94843,1,0,True
4691816,2024-01-01,BROOKLYN,40.65295,-73.911026,0,0,True
4691821,2024-01-01,BROOKLYN,40.639725,-74.01046,0,0,True
4691822,2024-01-01,BROOKLYN,40.651894,-74.014015,0,0,True
4691826,2024-01-01,BRONX,40.87157,-73.90022,0,0,True
4691828,2024-01-01,BROOKLYN,40.669086,-73.95956,0,0,True
4691829,2024-01-01,BROOKLYN,40.667496,-73.93682,0,0,True
4691831,2024-01-01,UNKNOWN,40.74091,-73.83727,1,0,True
4691832,2024-01-01,QUEENS,40.70807,-73.80999,1,0,True
4691833,2024-01-01,MANHATTAN,40.710697,-73.984634,0,0,True
4691834,2024-01-01,MANHATTAN,40.71738,-73.99131,0,0,True
4691835,2024-01-01,MANHATTAN,40.718792,-73.98902,0,0,True
4691838,2024-01-01,UNKNOWN,,,3,0,False
4691839,2024-01-01,UNKNOWN,40.687546,-73.8208,0,0,True
4691840,2024-01-01,QUEENS,40.679283,-73.83263,1,0,True
4691844,2024-01-01,BROOKLYN,40.60954,-73.94653,0,0,True
4691846,2024-01-02,BROOKLYN,40.585922,-73.93085,0,0,True
4691847,2024-01-02,BROOKLYN,40.59861,-73.938644,1,0,True
4691848,2024-01-01,UNKNOWN,40.586117,-73.93604,0,0,True
4691850,2024-01-01,MANHATTAN,40.762177,-73.96613,0,0,True
4691851,2024-01-01,BROOKLYN,40.593323,-73.964645,1,0,True
4691853,2024-01-01,BRONX,40.83,-73.93173,0,0,True
4691864,2024-01-01,UNKNOWN,40.861862,-73.91275,4,0,True
4691869,2024-01-01,UNKNOWN,40.682194,-74.00239,1,0,True
4691870,2024-01-01,BROOKLYN,40.6737,-74.00444,0,0,True
4691871,2024-01-01,UNKNOWN,40.690308,-73.99881,2,0,True
4691872,2024-01-01,QUEENS,40.729084,-73.93104,0,0,True
4691877,2024-01-01,QUEENS,40.747105,-73.92266,1,0,True
4691880,2024-01-01,UNKNOWN,,,0,0,False
4691881,2024-01-01,UNKNOWN,40.730442,-73.91367,1,0,True
4691882,2024-01-01,UNKNOWN,40.553833,-74.214584,1,0,True
4691883,2024-01-01,UNKNOWN,,,0,0,False
4691885,2024-01-02,UNKNOWN,,,0,0,False
4691886,2024-01-01,MANHATTAN,40.715046,-73.9837,0,0,True
4691887,2024-01-02,QUEENS,40.713463,-73.828995,0,0,True
4691888,2024-01-01,UNKNOWN,,,0,0,False
4691890,2024-01-01,UNKNOWN,40.701275,-73.88887,0,0,True
4691891,2024-01-01,UNKNOWN,40.72514,-73.93381,1,0,True
4691892,2024-01-01,QUEENS,40.702328,-73.90441,1,0,True
4691897,2024-01-01,BROOKLYN,40.57636,-73.96854,0,0,True
4691901,2024-01-01,UNKNOWN,40.585335,-73.98749,1,0,True
4691907,2024-01-01,UNKNOWN,,,0,0,False
4691908,2024-01-01,BRONX,40.822178,-73.9309,0,0,True
4691909,2024-01-01,BRONX,40.83164,-73.930115,1,0,True
4691911,2024-01-01,UNKNOWN,40.66578,-73.91942,0,0,True
4691912,2024-01-01,BRONX,40.855267,-73.86292,0,0,True
4691915,2024-01-01,MANHATTAN,40.72369,-74.00543,1,0,True
4691916,2024-01-02,MANHATTAN,40.726494,-74.00236,0,0,True
4691917,2024-01-01,UNKNOWN,40.73181,-73.866646,0,0,True
