date,borough,hour,count
2024-01-01,Bronx,0,3
2024-01-01,Bronx,1,5
2024-01-01,Bronx,2,3
2024-01-01,Bronx,11,1
2024-01-01,Bronx,13,1
2024-01-01,Bronx,14,1
2024-01-01,Bronx,15,1
2024-01-01,Bronx,21,1
2024-01-01,Brooklyn,0,27
2024-01-01,Brooklyn,1,25
2024-01-01,Brooklyn,2,26
2024-01-01,Brooklyn,3,17
2024-01-01,Brooklyn,4,8
2024-01-01,Brooklyn,5,9
2024-01-01,Brooklyn,6,5
2024-01-01,Brooklyn,7,4
2024-01-01,Brooklyn,9,4
2024-01-01,Brooklyn,10,4
2024-01-01,Brooklyn,11,9
2024-01-01,Brooklyn,12,5
2024-01-01,Brooklyn,13,4
2024-01-01,Brooklyn,14,8
2024-01-01,Brooklyn,15,7
2024-01-01,Brooklyn,16,10
2024-01-01,Brooklyn,17,9
2024-01-01,Brooklyn,18,10
2024-01-01,Brooklyn,19,9
2024-01-01,Brooklyn,20,7
2024-01-01,Brooklyn,21,6
2024-01-01,Brooklyn,22,10
2024-01-01,Brooklyn,23,3
2024-01-01,Manhattan,0,35
2024-01-01,Manhattan,1,35
2024-01-01,Manhattan,2,20
2024-01-01,Manhattan,3,8
2024-01-01,Manhattan,4,5
2024-01-01,Manhattan,5,5
2024-01-01,Manhattan,6,3
2024-01-01,Manhattan,7,17
2024-01-01,Manhattan,8,10
2024-01-01,Manhattan,9,10
2024-01-01,Manhattan,10,15
2024-01-01,Manhattan,11,27
2024-01-01,Manhattan,12,28
2024-01-01,Manhattan,13,46
2024-01-01,Manhattan,14,41
2024-01-01,Manhattan,15,54
2024-01-01,Manhattan,16,51
2024-01-01,Manhattan,17,45
2024-01-01,Manhattan,18,31
2024-01-01,Manhattan,19,23
2024-01-01,Manhattan,20,38
2024-01-01,Manhattan,21,34
2024-01-01,Manhattan,22,15
2024-01-01,Manhattan,23,14
2024-01-01,Queens,0,23
2024-01-01,Queens,1,31
2024-01-01,Queens,2,28
2024-01-01,Queens,3,13
2024-01-01,Queens,4,12
2024-01-01,Queens,5,14
2024-01-01,Queens,6,9
2024-01-01,Queens,7,9
2024-01-01,Queens,8,7
2024-01-01,Queens,9,7
2024-01-01,Queens,10,4
2024-01-01,Queens,11,8
2024-01-01,Queens,12,11
2024-01-01,Queens,13,13
2024-01-01,Queens,14,10
2024-01-01,Queens,15,25
2024-01-01,Queens,16,22
2024-01-01,Queens,17,16
2024-01-01,Queens,18,14
2024-01-01,Queens,19,15
2024-01-01,Queens,20,8
2024-01-01,Queens,21,9
2024-01-01,Queens,22,12
2024-01-01,Queens,23,12
2024-01-01,Unknown,1,1
2024-01-01,Unknown,8,1
2024-01-01,Unknown,14,2
2024-01-01,Unknown,15,1
2024-01-02,Bronx,1,3
2024-01-02,Bronx,4,1
2024-01-02,Bronx,5,1
2024-01-02,Bronx,7,2
2024-01-02,Bronx,8,2
2024-01-02,Bronx,9,11
2024-01-02,Bronx,11,2
2024-01-02,Bronx,12,8
2024-01-02,Bronx,13,4
